shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_295_1,26.16781,127.78811,3180007
shapes_295_1,26.16779,127.78829,3190001
shapes_295_1,26.16782,127.78802,3190002
shapes_295_1,26.1679,127.78724,3190003
shapes_295_1,26.16793,127.78693,3190004
shapes_295_1,26.16799,127.78638,3190005
shapes_295_1,26.16781,127.78811,3200001
shapes_295_1,26.16782,127.78802,3200002
shapes_295_1,26.1679,127.78724,3200003
shapes_295_1,26.16793,127.78693,3200004
shapes_295_1,26.16799,127.78637,3200005
shapes_295_1,26.16799,127.78638,3210001
shapes_295_1,26.16802,127.78607,3210002
shapes_295_1,26.16804,127.78592,3210003
shapes_295_1,26.16806,127.78564,3210004
shapes_295_1,26.1681,127.78544,3210005
shapes_295_1,26.16828,127.78496,3210006
shapes_295_1,26.16866,127.78417,3210007
shapes_295_1,26.16904,127.78338,3210008
shapes_295_1,26.16913,127.78319,3210009
shapes_295_1,26.16949,127.78246,3210010
shapes_295_1,26.1695,127.78242,3210011
shapes_295_1,26.16975,127.78191,3210012
shapes_295_1,26.16799,127.78637,3220001
shapes_295_1,26.16802,127.78607,3220002
shapes_295_1,26.16804,127.78592,3220003
shapes_295_1,26.16806,127.78564,3220004
shapes_295_1,26.1681,127.78544,3220005
shapes_295_1,26.16828,127.78496,3220006
shapes_295_1,26.16866,127.78417,3220007
shapes_295_1,26.16904,127.78338,3220008
shapes_295_1,26.16913,127.78319,3220009
shapes_295_1,26.16949,127.78246,3220010
shapes_295_1,26.1695,127.78242,3220011
shapes_295_1,26.16975,127.78191,3220012
shapes_295_1,26.16975,127.78191,3230001
shapes_295_1,26.16995,127.7815,3230002
shapes_295_1,26.17064,127.78008,3230003
shapes_295_1,26.17124,127.77885,3230004
shapes_295_1,26.1716,127.77809,3230005
shapes_295_1,26.17182,127.77761,3230006
shapes_295_1,26.17182,127.77761,3240001
shapes_295_1,26.1719,127.77746,3240002
shapes_295_1,26.17251,127.77627,3240003
shapes_295_1,26.17378,127.77439,3240004
shapes_295_1,26.17416,127.77393,3240005
shapes_295_1,26.17431,127.77383,3240006
shapes_295_1,26.17425,127.77372,3240007
shapes_295_1,26.17394,127.77357,3240008
shapes_295_1,26.17182,127.77761,3250001
shapes_295_1,26.1719,127.77746,3250002
shapes_295_1,26.17251,127.77627,3250003
shapes_295_1,26.17378,127.77439,3250004
shapes_295_1,26.17416,127.77393,3250005
shapes_295_1,26.17431,127.77383,3250006
shapes_295_1,26.17425,127.77372,3250007
shapes_295_1,26.17394,127.77357,3250008
shapes_295_1,26.173985,127.774148,3260001
shapes_295_1,26.17429241,127.7738285,3260002
shapes_295_1,26.17497605,127.7737856,3260003
